act_avg,sat_avg,enrollment,city,acceptance_rate,percent_receiving_aid,cost_after_aid,state,hs_gpa_avg,tuition,Institution_name,institution_type,us_rank
32,1400,5400,Princeton,7,60,16793,NJ,3.9,47140,Princeton University,private,1
32,1430,6710,Cambridge,5,55,16338,MA,4,48949,Harvard University,private,2
32,1450,5941,Chicago,8,42,27767,IL,4,54825,University of Chicago,private,3
32,1420,5472,New Haven,6,50,18385,CT,,51400,Yale University,private,3
32,1430,6113,New York,6,48,21041,NY,,57208,Columbia University,private,5
33,1460,4524,Cambridge,8,58,20331,MA,,49892,Massachusetts Institute of Technology,private,5
31,1380,7034,Stanford,5,47,19296,CA,,49617,Stanford University,private,5
32,1380,10019,Philadelphia,9,47,25441,PA,3.9,53534,University of Pennsylvania,private,8
31,1380,6609,Durham,11,41,23374,NC,,53744,Duke University,private,9
34,1510,979,Pasadena,8,51,23973,CA,,49908,California Institute of Technology,private,10
30,1350,4310,Hanover,11,50,23312,NH,,52950,Dartmouth College,private,11
32,1420,6117,Baltimore,12,45,30067,MD,3.9,52170,Johns Hopkins University,private,11
32,1400,8353,Evanston,11,43,31087,IL,,52678,Northwestern University,private,11
31,1370,6926,Providence,9,41,24482,RI,,53419,Brown University,private,14
31,1330,14566,Ithaca,14,44,28068,NY,,52853,Cornell University,private,14
32,1410,3893,Houston,15,37,23996,TX,,45608,Rice University,private,14
32,1420,6871,Nashville,11,46,23323,TN,3.8,47664,Vanderbilt University,private,14
32,1350,8530,Notre Dame,19,47,29653,IN,,51505,University of Notre Dame,private,18
32,1400,7540,St. Louis,17,41,29245,MO,,51533,Washington University in St. Louis,private,18
30,1320,7453,Washington,17,34,29667,DC,,52300,Georgetown University,private,20
30,1290,6861,Atlanta,25,42,24264,GA,3.7,49392,Emory University,private,21
29,1300,29311,Berkeley,16,23,49614,CA,3.9,42112,University of California--Berkeley,public,21
25,1160,30873,Los Angeles,18,15,42896,CA,3.9,41270,University of California--Los Angeles,public,21
30,1280,18794,Los Angeles,17,33,33112,CA,3.7,54259,University of Southern California,private,21
31,1380,6673,Pittsburgh,22,40,33550,PA,3.8,53910,Carnegie Mellon University,private,25
29,1240,16331,Charlottesville,30,28,28079,VA,4,46975,University of Virginia,public,25
